,Brand,Model,Price,BrandMdlID
125,Daewoo,Lanos,900.0,1
153,Ford,Festiva,2500.0,2
113,Chrysler,Sebring,2822.5,3
385,Mazda,323,3925.0,4
611,Skoda,Roomster,3999.0,5
48,BMW,320CI,3999.0,6
693,Volvo,S40,4990.0,7
157,Ford,Laser,4990.0,8
604,Saab,3-Sep,5400.0,9
536,Mitsubishi,380,5744.666666666667,10
496,Mercedes-Benz,MB100,5947.0,11
614,Smart,Fortwo,5985.0,12
382,Mazda,121,5990.0,13
218,Holden,Vectra,5990.0,14
642,Suzuki,XL-7,5990.0,15
450,Mercedes-Benz,E240,5999.0,16
542,Mitsubishi,Magna,6474.0,17
47,BMW,318I,6489.0,18
207,Holden,Epica,6943.5,19
248,Hyundai,Trajet,6990.0,20
416,Mercedes-Benz,A190,6990.0,21
599,Renault,Laguna,6990.0,22
629,Suzuki,APV,6999.0,23
651,Toyota,Celica,6999.0,24
414,Mercedes-Benz,A170,6999.0,25
574,Peugeot,307,6999.0,26
405,Mazda,Tribute,7135.6,27
233,Hyundai,Getz,7399.777777777777,28
399,Mazda,MPV,7486.75,29
67,BMW,525I,7499.0,30
144,Ford,Courier,7574.0,31
654,Toyota,Echo,7705.571428571428,32
577,Peugeot,407,7744.5,33
247,Hyundai,Terracan,7756.0,34
323,Lexus,ES300,7888.0,35
647,Toyota,Avalon,7894.5,36
112,Chrysler,PT,7985.0,37
591,Proton,S16,7990.0,38
151,Ford,Fairmont,7995.0,39
219,Holden,Viva,7995.0,40
105,Chery,J11,7999.0,41
509,Mercedes-Benz,S430,7999.0,42
305,Kia,Spectra,7999.0,43
296,Kia,K2700,7999.0,44
565,Nissan,Tiida,8422.875,45
547,Mitsubishi,Verada,8990.0,46
142,Fiat,Punto,8990.0,47
387,Mazda,B2500,8990.0,48
141,Fiat,Panda,8990.0,49
111,Chrysler,Grand,8999.0,50
571,Peugeot,207,9095.5,51
195,Holden,Adventra,9242.25,52
638,Suzuki,SX4,9397.42857142857,53
648,Toyota,Avensis,9467.0,54
118,Citroen,DS3,9777.0,55
558,Nissan,Micra,9839.8,56
33,BMW,120D,9900.0,57
696,Volvo,V50,9990.0,58
150,Ford,Fairlane,9994.5,59
115,Citroen,C3,9999.0,60
213,Holden,Rodeo,10220.260869565218,61
557,Nissan,Maxima,10224.09090909091,62
203,Holden,Combo,10244.5,63
206,Holden,Cruze,10367.0,64
398,Mazda,E2000,10494.5,65
197,Holden,Barina,10528.086206896553,66
630,Suzuki,Alto,10791.4,67
154,Ford,Fiesta,10796.477272727272,68
119,Citroen,DS4,10990.0,69
210,Holden,Jackaroo,10990.0,70
499,Mercedes-Benz,ML320,10992.0,71
563,Nissan,Pulsar,11294.96875,72
646,Toyota,Aurion,11340.52380952381,73
394,Mazda,CX-7,11491.538461538461,74
285,Jeep,Commander,11659.666666666666,75
553,Nissan,Dualis,11734.222222222223,76
568,Opel,Astra,11898.0,77
636,Suzuki,Kizashi,11956.0,78
237,Hyundai,I45,11973.57142857143,79
559,Nissan,Murano,12248.857142857143,80
691,Volvo,C30,12266.666666666666,81
422,Mercedes-Benz,B180,12326.333333333334,82
681,Volkswagen,Jetta,12421.0,83
295,Kia,Grand,12680.235294117647,84
205,Holden,Crewman,12743.875,85
211,Holden,Malibu,12744.5,86
441,Mercedes-Benz,CLK320,12819.75,87
543,Mitsubishi,Mirage,12827.615384615385,88
158,Ford,Maverick,12900.0,89
365,MG,3,12990.0,90
551,Nissan,Almera,12990.0,91
700,Volvo,XC70,12990.0,92
569,Opel,Corsa,12995.0,93
177,Great,Wall,13059.6875,94
214,Holden,Statesman,13326.0,95
679,Volkswagen,EOS,13377.8,96
127,Dodge,Nitro,13490.0,97
375,Mahindra,XUV500,13490.0,98
619,Ssangyong,Stavic,13494.5,99
126,Dodge,Journey,13545.5,100
137,Fiat,500,13597.142857142857,101
51,BMW,323I,13656.666666666666,102
615,Ssangyong,Actyon,13661.333333333334,103
355,Lexus,RX330,13866.0,104
632,Suzuki,Celerio,13880.0,105
200,Holden,Captiva,13947.884057971014,106
278,Jaguar,X,13956.0,107
54,BMW,330CI,13990.0,108
428,Mercedes-Benz,C230,13999.0,109
227,Honda,Jazz,14301.342857142858,110
230,Hyundai,Accent,14386.016393442624,111
388,Mazda,B4000,14499.0,112
163,Ford,Territory,14516.443396226416,113
439,Mercedes-Benz,CLC200,14557.833333333334,114
196,Holden,Astra,14606.791666666666,115
140,Fiat,Freemont,14689.142857142857,116
289,Jeep,Patriot,14831.7,117
145,Ford,Ecosport,14876.272727272728,118
572,Peugeot,208,14876.666666666666,119
465,Mercedes-Benz,GL320,14988.0,120
367,MG,F,14990.0,121
581,Peugeot,RCZ,14999.0,122
507,Mercedes-Benz,R320,14999.0,123
541,Mitsubishi,Lancer,15050.077777777778,124
633,Suzuki,Grand,15213.5,125
626,Subaru,Tribeca,15274.0,126
425,Mercedes-Benz,C180,15374.0,127
552,Nissan,Altima,15614.666666666666,128
238,Hyundai,IX35,15622.22033898305,129
300,Kia,RIO,15970.287878787878,130
502,Mercedes-Benz,ML500,15997.0,131
366,MG,6,16138.333333333334,132
220,Honda,Accord,16164.742857142857,133
222,Honda,CR-Z,16220.0,134
231,Hyundai,Elantra,16288.780487804877,135
30,BMW,116I,16298.0,136
576,Peugeot,4008,16326.333333333334,137
575,Peugeot,308,16439.944444444445,138
383,Mazda,2,16461.894736842107,139
139,Fiat,Doblo,16494.5,140
301,Kia,Rondo,16571.5,141
159,Ford,Mondeo,16795.11111111111,142
236,Hyundai,I40,16869.30769230769,143
697,Volvo,V60,16880.0,144
643,Tata,Xenon,16990.0,145
404,Mazda,RX-8,16995.0,146
55,BMW,330D,16999.0,147
37,BMW,135I,17109.5,148
49,BMW,320D,17137.81818181818,149
156,Ford,Kuga,17143.833333333332,150
216,Holden,Trax,17233.204545454544,151
152,Ford,Falcon,17420.78846153846,152
143,Fiat,Scudo,17494.5,153
234,Hyundai,I20,17634.0,154
223,Honda,City,17732.25,155
595,Renault,Clio,17836.666666666668,156
605,Skoda,Fabia,17859.0,157
298,Kia,Optima,17871.9,158
116,Citroen,C4,17880.0,159
506,Mercedes-Benz,R300,17990.0,160
46,BMW,316I,17999.0,161
138,Fiat,500X,17999.0,162
155,Ford,Focus,18472.279069767443,163
304,Kia,Soul,18489.0,164
424,Mercedes-Benz,B250,18490.0,165
695,Volvo,V40,18548.0,166
369,MG,MG3,18876.436363636363,167
674,Volkswagen,CC,18990.0,168
169,GWM,Steed,18990.0,169
440,Mercedes-Benz,CLK280,18999.0,170
423,Mercedes-Benz,B200,19120.571428571428,171
330,Lexus,IS250,19144.166666666668,172
251,Hyundai,Veloster,19159.324324324323,173
624,Subaru,Liberty,19161.188679245282,174
299,Kia,Picanto,19422.93023255814,175
52,BMW,325I,19490.0,176
684,Volkswagen,Polo,19526.260869565216,177
538,Mitsubishi,Challenger,19575.3,178
114,Citroen,Berlingo,19790.8,179
384,Mazda,3,19798.473451327434,180
120,Citroen,Grand,19990.0,181
579,Peugeot,508,19990.0,182
411,Mercedes-Benz,190,19990.0,183
35,BMW,125I,19994.25,184
281,Jaguar,XJ8,19999.0,185
631,Suzuki,Baleno,20029.703703703704,186
31,BMW,118D,20133.4,187
201,Holden,Cascada,20321.25,188
166,Foton,Tunland,20494.5,189
673,Volkswagen,Beetle,20622.0,190
290,Jeep,Renegade,20655.0,191
445,Mercedes-Benz,CLS350,20990.0,192
640,Suzuki,Swift,21124.5625,193
284,Jeep,Cherokee,21346.941176470587,194
500,Mercedes-Benz,ML350,21414.636363636364,195
386,Mazda,6,21942.98888888889,196
523,Mercedes-Benz,Viano,21990.0,197
73,BMW,740LI,21990.0,198
188,Haval,H6,21990.0,199
498,Mercedes-Benz,ML300,21999.0,200
670,Toyota,Yaris,22178.266666666666,201
204,Holden,Commodore,22201.204946996466,202
597,Renault,Kangoo,22403.25,203
622,Subaru,Impreza,22410.56818181818,204
199,Holden,Caprice,22496.272727272728,205
189,Haval,H8,22733.0,206
549,Nissan,350Z,22990.0,207
534,Mini,Coupe,22990.0,208
331,Lexus,IS250C,22999.0,209
634,Suzuki,Ignis,23027.571428571428,210
110,Chrysler,300C,23046.25,211
187,Haval,H2,23240.0,212
669,Toyota,Tarago,23339.379310344826,213
254,Infiniti,Q50,23490.0,214
240,Hyundai,Imax,23625.130434782608,215
39,BMW,218D,23648.5,216
610,Skoda,Rapid,23656.666666666668,217
293,Kia,Cerato,23768.982832618025,218
232,Hyundai,Genesis,23815.333333333332,219
228,Honda,Odyssey,23856.8,220
235,Hyundai,I30,24219.14285714286,221
537,Mitsubishi,ASX,24241.62424242424,222
532,Mini,Cooper,24281.36,223
1,Alfa,Romeo,24295.85714285714,224
208,Holden,Equinox,24475.466666666667,225
555,Nissan,Juke,24731.708333333332,226
570,Peugeot,2008,24890.666666666668,227
442,Mercedes-Benz,CLK500,24990.0,228
412,Mercedes-Benz,420,24990.0,229
340,Lexus,LX470,24999.0,230
497,Mercedes-Benz,ML250,25128.6,231
3,Audi,A1,25275.964285714286,232
621,Subaru,Forester,25418.42948717949,233
402,Mazda,Mazda2,25890.0,234
628,Subaru,XV,25935.543209876545,235
57,BMW,335I,25970.0,236
518,Mercedes-Benz,SLK350,25990.0,237
455,Mercedes-Benz,E500,25990.0,238
596,Renault,Kadjar,25996.0,239
616,Ssangyong,Korando,26027.222222222223,240
239,Hyundai,Iload,26172.813559322032,241
224,Honda,Civic,26179.164556962027,242
653,Toyota,Corolla,26215.883950617284,243
566,Nissan,X-Trail,26244.911877394636,244
245,Hyundai,Sonata,26279.25,245
308,Kia,Stonic,26560.739130434784,246
43,BMW,225I,26646.333333333332,247
353,Lexus,RX270,26657.333333333332,248
524,Mercedes-Benz,Vito,26671.38888888889,249
451,Mercedes-Benz,E250,26797.333333333332,250
225,Honda,HR-V,26805.09756097561,251
639,Suzuki,Sierra,26888.0,252
226,Honda,Integra,26939.5,253
390,Mazda,CX-3,26973.475,254
666,Toyota,Prius-C,26990.0,255
321,Lexus,CT200H,27140.4,256
641,Suzuki,Vitara,27221.423076923078,257
306,Kia,Sportage,27331.99342105263,258
252,Hyundai,Venue,27363.736842105263,259
312,LDV,G10,27382.652173913044,260
59,BMW,420D,27500.0,261
53,BMW,328I,27536.0,262
198,Holden,Calais,27809.43396226415,263
665,Toyota,Prius,27962.583333333332,264
427,Mercedes-Benz,C220,27966.75,265
514,Mercedes-Benz,SL350,27980.0,266
470,Mercedes-Benz,GLA200,28050.0,267
540,Mitsubishi,Express,28058.875,268
44,BMW,228I,28435.0,269
544,Mitsubishi,Outlander,28542.780701754386,270
661,Toyota,Hiace,28641.354838709678,271
41,BMW,220D,28800.0,272
560,Nissan,Navara,28837.947368421053,273
76,BMW,I3,28888.0,274
675,Volkswagen,Caddy,28900.305555555555,275
221,Honda,CR-V,29019.234234234234,276
280,Jaguar,XF,29078.285714285714,277
680,Volkswagen,Golf,29240.340425531915,278
645,Toyota,86,29307.304347826088,279
625,Subaru,Outback,29399.438095238096,280
370,MG,ZS,29613.0,281
564,Nissan,Qashqai,29662.2,282
401,Mazda,MX-5,29739.5,283
685,Volkswagen,Scirocco,29740.0,284
650,Toyota,Camry,29897.975609756097,285
202,Holden,Colorado,30169.384615384617,286
316,LDV,V80,30340.125,287
446,Mercedes-Benz,CLS500,30450.0,288
372,MG,ZST,30515.147058823528,289
250,Hyundai,Tucson,30559.00518134715,290
147,Ford,Escape,30754.025,291
4,Audi,A3,30887.84745762712,292
561,Nissan,Pathfinder,31291.328767123287,293
242,Hyundai,Kona,31291.4128440367,294
161,Ford,Puma,31310.44,295
65,BMW,520D,31494.5,296
91,BMW,X1,31748.694444444445,297
529,Mini,Cabrio,31990.0,298
535,Mini,Paceman,31990.0,299
178,HSV,Avalanche,31995.0,300
601,Renault,Megane,32364.791666666668,301
429,Mercedes-Benz,C250,32432.066666666666,302
620,Subaru,BRZ,32618.75,303
546,Mitsubishi,Triton,32661.950166112958,304
466,Mercedes-Benz,GL500,32900.0,305
400,Mazda,MX-30,32976.666666666664,306
598,Renault,Koleos,33074.02985074627,307
32,BMW,118I,33144.35294117647,308
539,Mitsubishi,Eclipse,33182.901960784315,309
313,LDV,G10+,33304.666666666664,310
403,Mazda,Mazda3,33307.5,311
392,Mazda,CX-5,33482.318181818184,312
50,BMW,320I,33564.63636363636,313
61,BMW,428I,33665.666666666664,314
623,Subaru,Levorg,33829.5,315
683,Volkswagen,Passat,33850.7,316
602,Renault,Trafic,33905.76470588235,317
344,Lexus,NX200T,33906.857142857145,318
471,Mercedes-Benz,GLA220,33985.0,319
9,Audi,A8,33990.0,320
34,BMW,120I,33990.0,321
426,Mercedes-Benz,C200,34052.62,322
368,MG,HS,34121.51754385965,323
612,Skoda,Scala,34190.0,324
303,Kia,Sorento,34576.16470588235,325
244,Hyundai,Santa,34629.589147286824,326
435,Mercedes-Benz,CLA200,34649.28571428572,327
215,Holden,Trailblazer,34743.07142857143,328
690,Volkswagen,Transporter,34744.142857142855,329
106,Chery,Omoda5,34744.545454545456,330
373,Mahindra,PIK-UP,34867.142857142855,331
100,BYD,T3,34950.0,332
472,Mercedes-Benz,GLA250,35003.833333333336,333
315,LDV,T60,35009.8125,334
286,Jeep,Compass,35189.41025641026,335
190,Haval,H9,35265.57142857143,336
194,Holden,Acadia,35520.57142857143,337
686,Volkswagen,T-Cross,35557.56862745098,338
613,Skoda,Superb,35712.625,339
694,Volvo,S60,35797.42857142857,340
326,Lexus,GS250,35880.0,341
649,Toyota,C-HR,35897.92857142857,342
146,Ford,Endura,35899.0,343
40,BMW,218I,35911.333333333336,344
45,BMW,230I,35919.0,345
545,Mitsubishi,Pajero,35934.985185185185,346
5,Audi,A4,36050.81081081081,347
469,Mercedes-Benz,GLA180,36249.166666666664,348
